name,value,date
赵丽颖,41626,2018-10-01
赵丽颖,46057,2018-10-02
赵丽颖,57603,2018-10-03
赵丽颖,47437,2018-10-04
赵丽颖,45903,2018-10-05
赵丽颖,44952,2018-10-06
赵丽颖,41475,2018-10-07
赵丽颖,30423,2018-10-08
赵丽颖,40201,2018-10-09
赵丽颖,41996,2018-10-10
赵丽颖,67142,2018-10-11
赵丽颖,57249,2018-10-12
赵丽颖,60198,2018-10-13
赵丽颖,52759,2018-10-14
赵丽颖,44186,2018-10-15
赵丽颖,3784274,2018-10-16
赵丽颖,666781,2018-10-17
赵丽颖,265967,2018-10-18
赵丽颖,223029,2018-10-19
赵丽颖,208305,2018-10-20
赵丽颖,142649,2018-10-21
赵丽颖,97314,2018-10-22
赵丽颖,79327,2018-10-23
赵丽颖,72119,2018-10-24
赵丽颖,66294,2018-10-25
赵丽颖,69277,2018-10-26
赵丽颖,78405,2018-10-27
赵丽颖,90145,2018-10-28
赵丽颖,56104,2018-10-29
赵丽颖,45354,2018-10-30
赵丽颖,43073,2018-10-31
赵丽颖,44527,2018-11-01
赵丽颖,53305,2018-11-02
赵丽颖,64232,2018-11-03
赵丽颖,57281,2018-11-04
赵丽颖,36536,2018-11-05
赵丽颖,35482,2018-11-06
赵丽颖,34621,2018-11-07
赵丽颖,33056,2018-11-08
赵丽颖,36375,2018-11-09
赵丽颖,52735,2018-11-10
赵丽颖,55247,2018-11-11
赵丽颖,54956,2018-11-12
赵丽颖,69484,2018-11-13
赵丽颖,67301,2018-11-14
赵丽颖,70701,2018-11-15
赵丽颖,77003,2018-11-16
赵丽颖,96699,2018-11-17
赵丽颖,89835,2018-11-18
赵丽颖,66936,2018-11-19
赵丽颖,63020,2018-11-20
赵丽颖,71441,2018-11-21
赵丽颖,63186,2018-11-22
赵丽颖,80686,2018-11-23
赵丽颖,83373,2018-11-24
赵丽颖,73634,2018-11-25
赵丽颖,64650,2018-11-26
赵丽颖,73104,2018-11-27
赵丽颖,68380,2018-11-28
赵丽颖,62125,2018-11-29
赵丽颖,80919,2018-11-30
赵丽颖,80291,2018-12-01
赵丽颖,76845,2018-12-02
赵丽颖,57679,2018-12-03
赵丽颖,56834,2018-12-04
赵丽颖,56308,2018-12-05
赵丽颖,53431,2018-12-06
赵丽颖,51367,2018-12-07
赵丽颖,58314,2018-12-08
赵丽颖,57859,2018-12-09
赵丽颖,48611,2018-12-10
赵丽颖,43144,2018-12-11
赵丽颖,36505,2018-12-12
赵丽颖,39259,2018-12-13
赵丽颖,41592,2018-12-14
赵丽颖,51707,2018-12-15
赵丽颖,45845,2018-12-16
赵丽颖,34900,2018-12-17
赵丽颖,34294,2018-12-18
赵丽颖,34035,2018-12-19
赵丽颖,39659,2018-12-20
赵丽颖,41214,2018-12-21
赵丽颖,58168,2018-12-22
赵丽颖,64461,2018-12-23
赵丽颖,51163,2018-12-24
赵丽颖,49520,2018-12-25
赵丽颖,55466,2018-12-26
赵丽颖,56957,2018-12-27
赵丽颖,53819,2018-12-28
赵丽颖,54112,2018-12-29
周杰伦,18795,2018-10-01
周杰伦,15606,2018-10-02
周杰伦,15704,2018-10-03
周杰伦,14686,2018-10-04
周杰伦,15161,2018-10-05
周杰伦,15607,2018-10-06
周杰伦,24929,2018-10-07
周杰伦,19835,2018-10-08
周杰伦,14643,2018-10-09
周杰伦,12722,2018-10-10
周杰伦,11226,2018-10-11
周杰伦,15716,2018-10-12
周杰伦,18014,2018-10-13
周杰伦,17137,2018-10-14
周杰伦,15107,2018-10-15
周杰伦,14905,2018-10-16
周杰伦,16235,2018-10-17
周杰伦,15232,2018-10-18
周杰伦,15798,2018-10-19
周杰伦,18480,2018-10-20
周杰伦,19992,2018-10-21
周杰伦,17942,2018-10-22
周杰伦,15353,2018-10-23
周杰伦,17040,2018-10-24
周杰伦,15949,2018-10-25
周杰伦,15479,2018-10-26
周杰伦,18710,2018-10-27
周杰伦,19765,2018-10-28
周杰伦,18925,2018-10-29
周杰伦,16199,2018-10-30
周杰伦,15354,2018-10-31
周杰伦,14186,2018-11-01
周杰伦,13936,2018-11-02
周杰伦,15208,2018-11-03
周杰伦,16622,2018-11-04
周杰伦,15264,2018-11-05
周杰伦,16268,2018-11-06
周杰伦,16526,2018-11-07
周杰伦,15786,2018-11-08
周杰伦,12498,2018-11-09
周杰伦,15198,2018-11-10
周杰伦,13888,2018-11-11
周杰伦,13167,2018-11-12
周杰伦,11613,2018-11-13
周杰伦,11521,2018-11-14
周杰伦,12218,2018-11-15
周杰伦,14273,2018-11-16
周杰伦,17935,2018-11-17
周杰伦,19464,2018-11-18
周杰伦,14373,2018-11-19
周杰伦,13555,2018-11-20
周杰伦,15008,2018-11-21
周杰伦,13606,2018-11-22
周杰伦,12518,2018-11-23
周杰伦,13933,2018-11-24
周杰伦,13106,2018-11-25
周杰伦,11227,2018-11-26
周杰伦,12380,2018-11-27
周杰伦,12034,2018-11-28
周杰伦,13057,2018-11-29
周杰伦,16733,2018-11-30
周杰伦,17234,2018-12-01
周杰伦,20991,2018-12-02
周杰伦,22779,2018-12-03
周杰伦,18853,2018-12-04
周杰伦,16859,2018-12-05
周杰伦,16382,2018-12-06
周杰伦,14997,2018-12-07
周杰伦,16768,2018-12-08
周杰伦,17068,2018-12-09
周杰伦,16292,2018-12-10
周杰伦,14398,2018-12-11
周杰伦,13484,2018-12-12
周杰伦,16421,2018-12-13
周杰伦,15146,2018-12-14
周杰伦,17468,2018-12-15
周杰伦,17781,2018-12-16
周杰伦,19931,2018-12-17
周杰伦,18709,2018-12-18
周杰伦,17480,2018-12-19
周杰伦,17291,2018-12-20
周杰伦,16574,2018-12-21
周杰伦,22188,2018-12-22
周杰伦,18781,2018-12-23
周杰伦,16233,2018-12-24
周杰伦,17811,2018-12-25
周杰伦,16766,2018-12-26
周杰伦,15953,2018-12-27
周杰伦,16028,2018-12-28
周杰伦,16207,2018-12-29
易烊千玺,34017,2018-10-01
易烊千玺,32927,2018-10-02
易烊千玺,31493,2018-10-03
易烊千玺,29293,2018-10-04
易烊千玺,30587,2018-10-05
易烊千玺,30789,2018-10-06
易烊千玺,27472,2018-10-07
易烊千玺,17399,2018-10-08
易烊千玺,17947,2018-10-09
易烊千玺,20637,2018-10-10
易烊千玺,13789,2018-10-11
易烊千玺,20564,2018-10-12
易烊千玺,24808,2018-10-13
易烊千玺,23470,2018-10-14
易烊千玺,27346,2018-10-15
易烊千玺,30783,2018-10-16
易烊千玺,20960,2018-10-17
易烊千玺,20321,2018-10-18
易烊千玺,23499,2018-10-19
易烊千玺,32258,2018-10-20
易烊千玺,31070,2018-10-21
易烊千玺,21399,2018-10-22
易烊千玺,20337,2018-10-23
易烊千玺,20080,2018-10-24
易烊千玺,20573,2018-10-25
易烊千玺,25127,2018-10-26
易烊千玺,30944,2018-10-27
易烊千玺,26518,2018-10-28
易烊千玺,18918,2018-10-29
易烊千玺,17786,2018-10-30
易烊千玺,18679,2018-10-31
易烊千玺,22093,2018-11-01
易烊千玺,27724,2018-11-02
易烊千玺,33931,2018-11-03
易烊千玺,31188,2018-11-04
易烊千玺,24351,2018-11-05
易烊千玺,22148,2018-11-06
易烊千玺,24434,2018-11-07
易烊千玺,32092,2018-11-08
易烊千玺,23993,2018-11-09
易烊千玺,39766,2018-11-10
易烊千玺,37834,2018-11-11
易烊千玺,23495,2018-11-12
易烊千玺,18418,2018-11-13
易烊千玺,19117,2018-11-14
易烊千玺,19254,2018-11-15
易烊千玺,21775,2018-11-16
易烊千玺,33758,2018-11-17
易烊千玺,32369,2018-11-18
易烊千玺,23167,2018-11-19
易烊千玺,21760,2018-11-20
易烊千玺,21011,2018-11-21
易烊千玺,18770,2018-11-22
易烊千玺,21955,2018-11-23
易烊千玺,33284,2018-11-24
易烊千玺,32405,2018-11-25
易烊千玺,25324,2018-11-26
易烊千玺,42062,2018-11-27
易烊千玺,109044,2018-11-28
易烊千玺,56833,2018-11-29
易烊千玺,40213,2018-11-30
易烊千玺,43821,2018-12-01
易烊千玺,46867,2018-12-02
易烊千玺,30023,2018-12-03
易烊千玺,25984,2018-12-04
易烊千玺,26931,2018-12-05
易烊千玺,23227,2018-12-06
易烊千玺,23043,2018-12-07
易烊千玺,29267,2018-12-08
易烊千玺,33206,2018-12-09
易烊千玺,21207,2018-12-10
易烊千玺,18656,2018-12-11
易烊千玺,16884,2018-12-12
易烊千玺,18794,2018-12-13
易烊千玺,22946,2018-12-14
易烊千玺,31161,2018-12-15
易烊千玺,29140,2018-12-16
易烊千玺,22091,2018-12-17
易烊千玺,20490,2018-12-18
易烊千玺,20950,2018-12-19
易烊千玺,20162,2018-12-20
易烊千玺,22424,2018-12-21
易烊千玺,29191,2018-12-22
易烊千玺,28987,2018-12-23
易烊千玺,19815,2018-12-24
易烊千玺,20225,2018-12-25
易烊千玺,20842,2018-12-26
易烊千玺,21199,2018-12-27
易烊千玺,21689,2018-12-28
易烊千玺,24373,2018-12-29
许嵩,4539,2018-10-01
许嵩,4645,2018-10-02
许嵩,4165,2018-10-03
许嵩,4296,2018-10-04
许嵩,4399,2018-10-05
许嵩,4484,2018-10-06
许嵩,4367,2018-10-07
